flow_type,partner,product,reporter,Trade,Y_2012_IHS,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,YTD,YTD_2018,YTD_2019,updated_date
QTY,United Arab Emirates,All Steel Mill Products,Iran,EXP,207023.52,221079.406,469752.2,580709.15,917373.044,1416833.674,1436982.858,Apr,631670.844,53058.385,03JUN2019
QTY,United Arab Emirates,Flat Products,Iran,EXP,206698.62,218266.526,309698,222125.19,414884.998,230952.061,337583.541,Apr,115042.627,21464,03JUN2019
QTY,United Arab Emirates,Long Products,Iran,EXP,287.2,1596.602,2486.4,1301.86,229.15,19486.077,22890.461,Apr,8037.355,8329.12,03JUN2019
QTY,United Arab Emirates,Pipe and Tube Products,Iran,EXP,15.3,13.7,3.6,190.8,912.595,75.694,24.56,Apr,0,2916.095,03JUN2019
QTY,United Arab Emirates,Semi-Finished Products,Iran,EXP,0,0,157536.2,356982.9,501272.714,1166319.842,1074736.516,Apr,508590.862,19858.48,03JUN2019
QTY,United Arab Emirates,Stainless Products,Iran,EXP,22.4,1202.578,28,108.4,73.587,0,1747.78,Apr,0,490.69,03JUN2019
QTY,Afghanistan,All Steel Mill Products,Iran,EXP,363097.958,288163.147,212904.6,244055.259,293667.163,368160.896,573076.975,Apr,147016.167,131911.568,03JUN2019
QTY,Afghanistan,Flat Products,Iran,EXP,83870.785,57717.779,36489.8,22153.315,46502.197,42792.219,96910.125,Apr,21552.986,22154.812,03JUN2019
QTY,Afghanistan,Long Products,Iran,EXP,212888.046,184398.418,153256.6,202512.035,231275.437,313488.009,446518.862,Apr,118464.836,99580.558,03JUN2019
QTY,Afghanistan,Pipe and Tube Products,Iran,EXP,21765.307,43982.473,23045.1,19097.919,15722.115,11683.349,27884.654,Apr,6271.385,10162.465,03JUN2019
QTY,Afghanistan,Semi-Finished Products,Iran,EXP,0,0,0,0,0,0,0,Apr,0,0,03JUN2019
QTY,Afghanistan,Stainless Products,Iran,EXP,44573.82,2064.477,113.1,291.99,167.414,197.319,1763.334,Apr,726.96,13.733,03JUN2019
QTY,Armenia,All Steel Mill Products,Iran,EXP,7096.045,8015.674,8003.7,3715.655,6437.073,10058.784,28227.135,Apr,3952.275,12976.003,03JUN2019
QTY,Armenia,Flat Products,Iran,EXP,5093.205,5615.73,4725.4,2543.675,5604.165,7817.773,12377.641,Apr,2558.213,4168.093,03JUN2019
QTY,Armenia,Long Products,Iran,EXP,295.3,707.552,1967,553.5,692.928,1560.259,11808.401,Apr,1133.812,6590.488,03JUN2019
QTY,Armenia,Pipe and Tube Products,Iran,EXP,1701.84,1684.372,1311,617.58,130.98,680.672,3830.462,Apr,260.25,2217.376,03JUN2019
QTY,Armenia,Stainless Products,Iran,EXP,5.7,8.02,0.3,0.9,9,0.08,210.631,Apr,0,0.046,03JUN2019
QTY,Azerbaijan,All Steel Mill Products,Iran,EXP,6248.36,5480.105,16317.8,2691.93,599.601,239.235,24074.254,Apr,255.09,8605.741,03JUN2019
QTY,Azerbaijan,Flat Products,Iran,EXP,4345.16,5.81,2705.6,49,48.07,14.06,1.1,Apr,1.1,12.14,03JUN2019
QTY,Azerbaijan,Long Products,Iran,EXP,1320.19,5064.175,13289.5,1843.82,322.191,160.095,23810.727,Apr,253.99,6470.653,03JUN2019
QTY,Azerbaijan,Pipe and Tube Products,Iran,EXP,583.01,234.32,186.8,798.91,229.34,65.08,140.772,Apr,0,2036.068,03JUN2019
QTY,Azerbaijan,Semi-Finished Products,Iran,EXP,0,175.8,104,0,0,0,0,Apr,0,0,03JUN2019
QTY,Azerbaijan,Stainless Products,Iran,EXP,0,0,31.9,0.2,0,0,121.655,Apr,0,86.88,03JUN2019
QTY,Belgium,All Steel Mill Products,Iran,EXP,14263.1,29091.8,2808.9,40827.724,40136.69,36002.77,11008.202,Apr,3384.36,1458.723,03JUN2019
QTY,Belgium,Flat Products,Iran,EXP,10225,28616,0,36972,40112,30944.422,6638.56,Apr,3324.69,0,03JUN2019
QTY,Belgium,Long Products,Iran,EXP,4038.1,475.8,2808.9,3855.724,24.69,4100.438,4369.642,Apr,59.67,0,03JUN2019
QTY,Belgium,Pipe and Tube Products,Iran,EXP,0,0,0,0,0,0,0,Apr,0,1458.723,03JUN2019
QTY,Belgium,Semi-Finished Products,Iran,EXP,0,0,0,0,0,957.91,0,Apr,0,0,03JUN2019
QTY,Bulgaria,All Steel Mill Products,Iran,EXP,0,0,0,112.358,861.536,823.808,777.372,Apr,90.925,92.444,03JUN2019
QTY,Bulgaria,Long Products,Iran,EXP,0,0,0,112.358,861.536,823.808,777.372,Apr,90.925,92.444,03JUN2019
QTY,Brazil,All Steel Mill Products,Iran,EXP,0,0,0,0,156215,31599.97,67636.93,Apr,35253,0,03JUN2019
QTY,Brazil,Semi-Finished Products,Iran,EXP,0,0,0,0,156215,31599.97,67636.93,Apr,35253,0,03JUN2019
QTY,China,All Steel Mill Products,Iran,EXP,164.7,0,23.8,114.8,23.003,33421.341,42563.385,Apr,42473.945,28824.64,03JUN2019
QTY,China,Flat Products,Iran,EXP,164.7,0,0,114.8,21.463,148.198,9,Apr,9,0,03JUN2019
QTY,China,Long Products,Iran,EXP,0,0,23.3,0,0.12,0,48.04,Apr,0,0,03JUN2019
QTY,China,Pipe and Tube Products,Iran,EXP,0,0,0,0,0.77,0,41.4,Apr,0,0,03JUN2019
QTY,China,Semi-Finished Products,Iran,EXP,0,0,0.5,0,0,33273.143,42464.945,Apr,42464.945,28824.64,03JUN2019
QTY,China,Stainless Products,Iran,EXP,0,0,0,0,0.65,0,0,Apr,0,0,03JUN2019
QTY,Czech Republic,All Steel Mill Products,Iran,EXP,1.2,61.5,39.9,100.616,0,0.095,0,Apr,0,0,03JUN2019
QTY,Czech Republic,Long Products,Iran,EXP,0,61.5,39.9,100.616,0,0.095,0,Apr,0,0,03JUN2019
QTY,Czech Republic,Semi-Finished Products,Iran,EXP,1.2,0,0,0,0,0,0,Apr,0,0,03JUN2019
QTY,Germany,All Steel Mill Products,Iran,EXP,7993.097,4050.817,2456.4,692.5,5184.892,6457.113,7551.251,Apr,4073.992,41134.245,03JUN2019
QTY,Germany,Flat Products,Iran,EXP,0,0,3,0,4500.448,0.629,0,Apr,0,0.96,03JUN2019
QTY,Germany,Long Products,Iran,EXP,7686.397,3559.724,2247,673.3,623.614,6387.556,7283.817,Apr,3851.582,245.135,03JUN2019
QTY,Germany,Pipe and Tube Products,Iran,EXP,263.3,18.83,152.2,19.2,53.07,68.045,45.324,Apr,22.41,21.71,03JUN2019
QTY,Germany,Semi-Finished Products,Iran,EXP,24.8,2.013,0,0,0,0,200,Apr,200,40866.44,03JUN2019
QTY,Germany,Stainless Products,Iran,EXP,18.6,470.25,54.2,0,7.76,0.883,22.11,Apr,0,0,03JUN2019
QTY,Algeria,All Steel Mill Products,Iran,EXP,0,0,0,0,0,5846.052,6.57,Apr,0,57360.08,03JUN2019
QTY,Algeria,Flat Products,Iran,EXP,0,0,0,0,0,5846.052,0,Apr,0,0,03JUN2019
QTY,Algeria,Long Products,Iran,EXP,0,0,0,0,0,0,6.57,Apr,0,0,03JUN2019
QTY,Algeria,Semi-Finished Products,Iran,EXP,0,0,0,0,0,0,0,Apr,0,57360.08,03JUN2019
QTY,Egypt,All Steel Mill Products,Iran,EXP,0,63.638,0,9665.7,153701.92,452961.109,694709.64,Apr,257702.16,0,03JUN2019
QTY,Egypt,Long Products,Iran,EXP,0,63.638,0,0,0,0,0,Apr,0,0,03JUN2019
QTY,Egypt,Semi-Finished Products,Iran,EXP,0,0,0,9665.7,153701.92,452961.109,694709.64,Apr,257702.16,0,03JUN2019
QTY,Spain,All Steel Mill Products,Iran,EXP,51904.6,26773,137856.6,168208.152,143400.584,19087.118,1032.557,Apr,492.379,0.26,03JUN2019
QTY,Spain,Flat Products,Iran,EXP,51266,26773,137803.7,167765.6,142497,14751,0.127,Apr,0.127,0,03JUN2019
QTY,Spain,Long Products,Iran,EXP,638.6,0,52.9,442.552,903.584,4336.118,1032.43,Apr,492.252,0,03JUN2019
QTY,Spain,Pipe and Tube Products,Iran,EXP,0,0,0,0,0,0,0,Apr,0,0.26,03JUN2019
QTY,Ethiopia,All Steel Mill Products,Iran,EXP,0,0,0,0,0,9.306,5.48,Apr,0,0,03JUN2019
QTY,Ethiopia,Flat Products,Iran,EXP,0,0,0,0,0,0,5.48,Apr,0,0,03JUN2019
QTY,Ethiopia,Long Products,Iran,EXP,0,0,0,0,0,9.306,0,Apr,0,0,03JUN2019
QTY,France,All Steel Mill Products,Iran,EXP,229.681,0,0,0,0,10329.402,6.24,Apr,6.24,0.55,03JUN2019
QTY,France,Flat Products,Iran,EXP,0,0,0,0,0,5.302,6.24,Apr,6.24,0.55,03JUN2019
QTY,France,Long Products,Iran,EXP,229.681,0,0,0,0,0,0,Apr,0,0,03JUN2019
QTY,France,Semi-Finished Products,Iran,EXP,0,0,0,0,0,10324.1,0,Apr,0,0,03JUN2019
QTY,United Kingdom,All Steel Mill Products,Iran,EXP,1423.5,78264.9,105490.3,0,4364,1225.019,17572.784,Apr,6177.684,0,03JUN2019
QTY,United Kingdom,Flat Products,Iran,EXP,0,77534,105420,0,4364,0,0,Apr,0,0,03JUN2019
QTY,United Kingdom,Long Products,Iran,EXP,1423.5,730.9,0,0,0,1171.352,17572.784,Apr,6177.684,0,03JUN2019
QTY,United Kingdom,Pipe and Tube Products,Iran,EXP,0,0,0,0,0,0.707,0,Apr,0,0,03JUN2019
QTY,United Kingdom,Stainless Products,Iran,EXP,0,0,70.3,0,0,52.96,0,Apr,0,0,03JUN2019
QTY,Georgia,All Steel Mill Products,Iran,EXP,108.7,977.38,1189.6,644.635,475.134,2024.038,54031.636,Apr,1314.712,17729.636,03JUN2019
QTY,Georgia,Flat Products,Iran,EXP,21.6,221.31,0.6,3.175,0.08,0.25,304.081,Apr,45.961,364.396,03JUN2019
QTY,Georgia,Long Products,Iran,EXP,0,611.48,1165.5,641.46,407.344,1954.628,48746.052,Apr,1175.661,11933.506,03JUN2019
QTY,Georgia,Pipe and Tube Products,Iran,EXP,87.1,144.49,23.5,0,67.71,69.16,4958.433,Apr,93.09,5431.534,03JUN2019
QTY,Georgia,Stainless Products,Iran,EXP,0,0.1,0,0,0,0,23.07,Apr,0,0.2,03JUN2019
QTY,Indonesia,All Steel Mill Products,Iran,EXP,21.4,0,0,0,34192.285,580507.259,1120954.648,Apr,282122.771,771453.593,03JUN2019
QTY,Indonesia,Flat Products,Iran,EXP,0,0,0,0,0,0,6136,Apr,0,0,03JUN2019
QTY,Indonesia,Pipe and Tube Products,Iran,EXP,21.4,0,0,0,0,0,0,Apr,0,0,03JUN2019
QTY,Indonesia,Semi-Finished Products,Iran,EXP,0,0,0,0,34192.285,580507.259,1114818.648,Apr,282122.771,771453.593,03JUN2019
QTY,Ireland,All Steel Mill Products,Iran,EXP,0,0,0,0,0,45.32,0,Apr,0,0,03JUN2019
QTY,Ireland,Long Products,Iran,EXP,0,0,0,0,0,24.34,0,Apr,0,0,03JUN2019
QTY,Ireland,Stainless Products,Iran,EXP,0,0,0,0,0,20.98,0,Apr,0,0,03JUN2019
QTY,India,All Steel Mill Products,Iran,EXP,168363.8,198419.266,128435.9,59396.6,42256.845,106733.631,133819.752,Apr,62865.027,100992.85,03JUN2019
QTY,India,Flat Products,Iran,EXP,168360,149860,55220,0,41216.12,34054.2,9835.617,Apr,0.617,41313,03JUN2019
QTY,India,Long Products,Iran,EXP,0,1294.069,0,0,35.865,0,509.1,Apr,0,0,03JUN2019
QTY,India,Pipe and Tube Products,Iran,EXP,3.8,8.7,0,0,505.7,1362.65,18.565,Apr,0,0,03JUN2019
QTY,India,Semi-Finished Products,Iran,EXP,0,47010,72611.1,59349.4,0,71099.351,123337.81,Apr,62769.05,59679.85,03JUN2019
QTY,India,Stainless Products,Iran,EXP,0,246.497,604.8,47.2,499.16,217.43,118.66,Apr,95.36,0,03JUN2019
QTY,Iraq,All Steel Mill Products,Iran,EXP,262557.316,290045.969,274566.1,337093.789,320281.574,388835.911,1205430.85,Apr,191340.821,357781.485,03JUN2019
QTY,Iraq,Flat Products,Iran,EXP,105544.255,112029.043,102645.1,91543.969,68095.894,74612.231,178880.495,Apr,38994.011,46783.323,03JUN2019
QTY,Iraq,Long Products,Iran,EXP,124001.818,142251.607,149390.9,211749.361,205278.409,278861.412,818754.27,Apr,123237.704,242823.005,03JUN2019
QTY,Iraq,Pipe and Tube Products,Iran,EXP,30043.193,34206.939,16677.4,22605.645,43791.053,34944.676,163390.594,Apr,28462.566,66327.023,03JUN2019
QTY,Iraq,Semi-Finished Products,Iran,EXP,0,640.32,4.3,27.984,152.62,202.549,39594.352,Apr,99.2,48.825,03JUN2019
QTY,Iraq,Stainless Products,Iran,EXP,2968.05,918.06,5848.4,11166.83,2963.598,215.043,4811.139,Apr,547.34,1799.309,03JUN2019
QTY,Italy,All Steel Mill Products,Iran,EXP,15306.31,38513.968,342347.3,795974.194,705181.618,437411.416,407773.427,Apr,176580.162,27072.87,03JUN2019
