flow_type,partner,product,reporter,Trade,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,Y_2019_IHS,YTD,YTD_2019,YTD_2020,updated_date
QTY,United Arab Emirates,All Steel Mill Products,United States (For Domestic Consumption),IMP,59270.599,98303.332,155944.686,158645.513,273558.716,221461.011,222908.335,Feb,43484.256,36901.616,06APR2020
QTY,United Arab Emirates,Flat Products,United States (For Domestic Consumption),IMP,0,5728.563,2817.207,63315.961,146496.54,114727.127,91590.568,Feb,23669.959,12809.789,06APR2020
QTY,United Arab Emirates,Long Products,United States (For Domestic Consumption),IMP,12928.299,18113.326,47296.978,43314.424,25489.17,19875.407,36814.757,Feb,3385.679,3983.89,06APR2020
QTY,United Arab Emirates,Pipe and Tube Products,United States (For Domestic Consumption),IMP,44220.615,71647.674,102568.762,50179.342,98413.249,83681.512,91466.325,Feb,15824.078,19776.672,06APR2020
QTY,United Arab Emirates,Stainless Products,United States (For Domestic Consumption),IMP,2121.685,2813.769,3261.739,1835.786,3159.757,3176.965,3036.685,Feb,604.54,331.265,06APR2020
QTY,Argentina,All Steel Mill Products,United States (For Domestic Consumption),IMP,217049.058,197984.851,107821.042,80909.019,213491.865,166197.721,177784.142,Feb,20998.935,15970.027,06APR2020
QTY,Argentina,Flat Products,United States (For Domestic Consumption),IMP,0,0,6968.252,25239.702,387.38,3567.125,14604.645,Feb,2785.279,3778.36,06APR2020
QTY,Argentina,Long Products,United States (For Domestic Consumption),IMP,0,0,0.979,2008.185,394.249,1939.391,329.942,Feb,182.554,54.766,06APR2020
QTY,Argentina,Pipe and Tube Products,United States (For Domestic Consumption),IMP,217000.156,197969.895,100849.598,53586.626,212710.236,160688.538,162849.555,Feb,18031.102,12136.901,06APR2020
QTY,Argentina,Stainless Products,United States (For Domestic Consumption),IMP,48.902,14.956,2.213,74.506,0,2.667,0,Feb,0,0,06APR2020
QTY,Austria,All Steel Mill Products,United States (For Domestic Consumption),IMP,248744.018,284452.344,185450.755,168811.218,268287.251,327368.432,253154.847,Feb,49720.53,44002.059,06APR2020
QTY,Austria,Flat Products,United States (For Domestic Consumption),IMP,60748.696,73308.427,49341.417,66164.231,88488.812,114166.406,105693.274,Feb,18477.847,27323.907,06APR2020
QTY,Austria,Long Products,United States (For Domestic Consumption),IMP,11828.131,14258.645,13380.513,11750.764,8583.69,11048.349,11319.377,Feb,1788.069,1752.399,06APR2020
QTY,Austria,Pipe and Tube Products,United States (For Domestic Consumption),IMP,171696.257,190456.814,114130.401,86313.071,157537.904,193011.297,131936.593,Feb,28878.605,14512.89,06APR2020
QTY,Austria,Semi-Finished Products,United States (For Domestic Consumption),IMP,33.552,43.458,29.476,64.942,42.495,145.884,8.422,Feb,0.71,0.674,06APR2020
QTY,Austria,Stainless Products,United States (For Domestic Consumption),IMP,4437.382,6385,8568.948,4518.21,13634.35,8996.496,4197.181,Feb,575.299,412.189,06APR2020
